cycle,count,mae,rmse
5,15,0.14609854342175252,0.20006101601930049
6,15,0.13574248493179153,0.17703082353520652
7,15,0.11119302039904361,0.14296712431775493
8,15,0.12986822485467953,0.16801460161061865
9,15,0.2151589138890874,0.26131624072192383
10,15,0.2196074776128861,0.27486162921237123
11,15,0.29213555726745205,0.382481097953056
12,15,0.2320949663127596,0.2896549396276717
13,15,0.21754891625901773,0.27304019258625134
14,15,0.19855385805141518,0.25245913176893
15,15,0.16144710176543017,0.19044689805658185
16,15,0.17838449843848886,0.20662651631771792
17,15,0.20844308890594956,0.2619090097486627
18,15,0.15042626603777107,0.20024170224537624
19,15,0.14967654100376493,0.19454969178357812
20,15,0.12148342784436707,0.15114191685324646
21,15,0.14920036755078994,0.18966619894135042
22,15,0.17479278424253697,0.22310707806588878
23,15,0.1391298196342042,0.17663126517595687
24,15,0.19819456462703705,0.22797824013515416
25,15,0.188890669541866,0.22170852289332532
26,15,0.3144815760710505,0.3638460443354986
27,15,0.18849904823554628,0.23602180079459473
28,15,0.1842532881346618,0.2267362090266911
29,15,0.1662406605259071,0.21531719662861606
30,15,0.13850137486042874,0.16689029382222145
31,15,0.1228006725259901,0.14876571651833698
32,15,0.13244743619315197,0.16826681254742043
33,15,0.11341178443806467,0.15044045494123023
34,15,0.271090437755061,0.317379641918078
35,15,0.3438164929139158,0.39946472114803216
36,15,0.3361919953063115,0.43699637066634966
37,15,0.26908450797246886,0.396048740534464
38,15,0.26467573107234277,0.3408841911546217
39,15,0.27343657688519935,0.40967701486501323
40,15,0.333501492790538,0.39733653695317556
41,15,0.37074528340937674,0.44401545890962774
42,15,0.1602785685922087,0.20597585919317876
43,15,0.13923132822399795,0.17649403349527054
