cycle,count,mae,rmse
5,15,0.14750104278018833,0.19279351239452583
6,15,0.13376780044432798,0.1628778408201295
7,15,0.1344088562104392,0.1708972659919869
8,15,0.13941817799325745,0.17917555402662377
9,15,0.1970347263923831,0.24719316796493268
10,15,0.18422617034203748,0.2315695166618883
11,15,0.3238217673050968,0.387648349170649
12,15,0.2082662351306389,0.28329568127533755
13,15,0.18295871041631598,0.2307069841272735
14,15,0.21353871718682346,0.2568169214120618
15,15,0.1388518970442993,0.1709442115183249
16,15,0.16972997593129655,0.2072699600674914
17,15,0.1912666982921027,0.23916071218415888
18,15,0.16557546492019637,0.21501888251008947
19,15,0.13324011669272212,0.17576272836672188
20,15,0.1333174997956879,0.1657854280827524
21,15,0.16576715084266186,0.19482590492198987
22,15,0.1709827626426974,0.21046678545289713
23,15,0.2387477975938259,0.27094005778131547
