cycle,count,mae,rmse
5,15,0.15828653430827344,0.1959993088223614
6,15,0.13641020202625673,0.1677741936386968
7,15,0.11996688801155313,0.15897405260772624
8,15,0.12754271826003402,0.16485503150079542
9,15,0.1930830149644626,0.24931149651866896
10,15,0.22440178460026067,0.2842946796503361
11,15,0.28518247694751386,0.36253547699742267
12,15,0.21459954424536487,0.27006414794838424
13,15,0.15434384987195693,0.19837799942595583
14,15,0.25176113145417633,0.2977846496879363
15,15,0.14446515243010155,0.17970601765577837
16,15,0.16350046996744463,0.20086994193286528
17,15,0.19902438672938702,0.2488718517340737
18,15,0.1436242857298501,0.1903316280452152
19,15,0.18190412168226516,0.22203956707137829
20,15,0.14583795181499104,0.17513905904099228
21,15,0.1771325300176238,0.21087188516108601
22,15,0.25448443079494154,0.3050936947593044
23,15,0.16992617328393939,0.19931298895944588
24,15,0.12174327287086226,0.1508427939486167
25,15,0.18637155552885493,0.2224491620760676
26,15,0.25550635177128594,0.3284516657370906
27,15,0.16397423920028487,0.21708575893135756
28,15,0.131906256799591,0.17845293249803276
29,15,0.17790203977134764,0.2247551778937405
30,15,0.15416125391879992,0.17818916401403376
31,15,0.12484316357872967,0.15568523096080322
32,15,0.15427957445883253,0.18464880536286676
33,15,0.15859342017814873,0.2171360037675929
34,15,0.2718980332042891,0.32425899727974644
35,15,0.3393190355127761,0.4061696978856683
36,15,0.315708697833867,0.4179421587902774
37,15,0.2593286655501121,0.37119678625789043
38,15,0.26225736304318564,0.32939568199563085
39,15,0.279027941879345,0.4070967414893832
40,15,0.34769860020885734,0.41469400526107014
41,15,0.3593969297139522,0.43217549539645195
42,15,0.1610270501655979,0.20817419988964442
43,15,0.1487973261152799,0.19451779748589368
44,15,0.1725274333698232,0.2201776415718771
45,15,0.19835975685482066,0.27046704231657537
46,15,0.17558551676903789,0.22604404052252644
47,15,0.15782321417547196,0.19675778158720011
48,15,0.13191831775653495,0.1681590650994402
49,15,0.10744102988430863,0.13045496474249174
50,15,0.13112570733287512,0.1701986012552154
51,15,0.15937571690492996,0.19185044852649877
52,15,0.11246128781386866,0.14363348087183517
53,15,0.17767543201738387,0.21389622946383016
54,15,0.1333970507698918,0.16439970796873477
55,15,0.11145207591850374,0.14629808230816552
56,15,0.15036881218703368,0.1950712395940718
57,15,0.16106358017646621,0.19588603461832182
58,15,0.24573475134187903,0.32475543044787664
59,15,0.20096045072395394,0.2773983935419664
60,15,0.2012291909700367,0.2405755646487454
