cycle,count,mae,rmse
5,15,0.15324559824980702,0.18886110910094647
6,15,0.1370027380421398,0.1780932567168165
7,15,0.11432275915470463,0.14741454841312354
8,15,0.19891499130968382,0.23654431711308527
9,15,0.2210947616676323,0.2714066374423923
10,15,0.21303411406883385,0.2950329398539424
11,15,0.32563465254672297,0.3828582617140691
12,15,0.22555370880163525,0.27953608340189706
13,15,0.18471831438085862,0.23289658786440479
14,15,0.21667454571047695,0.2606697382250979
15,15,0.15498101958617408,0.18623436226821002
16,15,0.1705395232254662,0.20465040678352595
17,15,0.19342779554910808,0.23641280891953798
18,15,0.19693742312580473,0.24151070273124384
19,15,0.17968247294215456,0.21039845279566155
20,15,0.11743311359483352,0.14553653490004212
21,15,0.16825084795841486,0.20618236481979454
22,15,0.14324670238408008,0.16873931308336132
23,15,0.16540501304435196,0.1872189851770166
24,15,0.14566045300982824,0.1740770675468929
25,15,0.16371714298220716,0.19589412673562437
26,15,0.3270498804528762,0.3702272751291503
27,15,0.1783053445333068,0.22297707166827074
28,15,0.20587814294122964,0.2444372357054044
29,15,0.13638283832682233,0.17731449352795653
30,15,0.11030227077387024,0.1324386309254168
31,15,0.11713305724845811,0.14786297154007197
32,15,0.12774127232361623,0.1559212172757534
33,15,0.15391530324147668,0.19309794506893432
34,15,0.29082995776138726,0.33370474986130383
35,15,0.3670456519320236,0.42556342910926903
36,15,0.40062797923872756,0.48058968809602687
37,15,0.2640973236324109,0.3305315338365796
38,15,0.23270046214376444,0.3237527143780867
39,15,0.2704918962461722,0.34795681689313
