cycle,count,mae,rmse
5,15,0.14396306710581414,0.18607418480473523
6,15,0.12534866067672445,0.16168571139033897
7,15,0.1256294983565831,0.16149317634765228
8,15,0.15052878212969364,0.18943682713545157
9,15,0.20780799438378597,0.2646447244302091
10,15,0.19852819179354717,0.2688250578127915
11,15,0.3345139072500778,0.4018027430034675
12,15,0.22460591117444303,0.29972989036059006
13,15,0.19836061753200698,0.2460599264802097
14,15,0.16886330822691448,0.20494551783001733
15,15,0.2014807739303639,0.24114722091358876
16,15,0.1454867596750097,0.1864033026674438
17,15,0.19406087473298528,0.2519715941648232
18,15,0.16660667828577705,0.1982659623936562
19,15,0.20609773792306924,0.24972271116641193
20,15,0.10525328176016754,0.13687289575095374
21,15,0.20731139084372552,0.2409475225550136
22,15,0.2080165268831781,0.25170230067117716
23,15,0.1702692050037682,0.20627507436971804
24,15,0.19652340109805705,0.225474133487823
25,15,0.19116851955199274,0.22197129310568675
26,15,0.2745436549764552,0.3318878207488763
27,15,0.18215286713694956,0.22940376848291422
28,15,0.13717606806700414,0.18714250962885898
29,15,0.22197088750027347,0.26574728975125134
30,15,0.10592719103230926,0.13068931530049607
31,15,0.11877932098291784,0.14829820417064982
32,15,0.15504428044271207,0.19265537546936845
33,15,0.1886415031997405,0.23756787898849743
34,15,0.23286766343688145,0.2797282460662794
35,15,0.33702864324266696,0.4226530238958291
36,15,0.31043225269749447,0.4003952146265369
37,15,0.28068145377534565,0.39767916300085465
38,15,0.24733852915601348,0.33665754238203
39,15,0.27828642086846134,0.33894722147625295
40,15,0.3195354747081442,0.4035939333166162
41,15,0.3490516303507527,0.421967479584651
42,15,0.14183312156006322,0.17861972384141922
43,15,0.13556024199491465,0.17460832886542824
44,15,0.1942964890201126,0.2517972008311386
45,15,0.16892467565547395,0.21527322652532027
46,15,0.14741159613968915,0.20023858428289715
47,15,0.1027795167123211,0.12558365079227404
48,15,0.12466641170598372,0.17144176292298818
49,15,0.13594651097663532,0.1789728263345803
50,15,0.14487443943827766,0.1754834992274693
51,15,0.14030728306134446,0.17846887275600185
52,15,0.11807270329469549,0.14607109002530685
53,15,0.15791139659890183,0.20062695181922144
54,15,0.11917023738020366,0.14356177552018218
55,15,0.11001316171629659,0.14010125416927033
56,15,0.13285801114858764,0.17701512221989874
57,15,0.13830934384267854,0.1855854514281093
58,15,0.22741766738894176,0.30319222872079094
59,15,0.2455032040177117,0.2892898132681
60,15,0.148085464244652,0.20351290535483452
61,15,0.1991664071485139,0.23002475787573956
62,15,0.12149072661888223,0.1479732026501257
63,15,0.22695808866487333,0.3054670826215791
64,15,0.32762337112834505,0.41144445505691146
65,15,0.19045134795570948,0.2557084015037419
66,15,0.3525537661851558,0.48961302182175515
67,15,0.680049249810205,0.8056505977697788
68,15,0.13834533963689702,0.17303358310327796
69,15,0.20759737181890198,0.24503085839742694
70,15,0.31709240054145776,0.4661104530355492
71,15,0.2159408156142422,0.29897718862889716
72,15,0.229413881204779,0.2666983899569468
73,15,0.3345019141723436,0.44617223001256884
74,15,0.14466661345263557,0.16787504481262472
75,15,0.1414830175514331,0.16719652334409876
76,15,0.1339844325305562,0.16117595786804087
77,15,0.14053014056245358,0.19732116152633494
78,15,0.1423308666319265,0.17532343769924097
79,15,0.0814985262156502,0.10476561476299005
80,15,0.08943726969264397,0.11065907516613717
81,15,0.12048980993929856,0.1640862223044005
82,15,0.1735533780077947,0.2103461297907571
83,15,0.20484268459474606,0.2377027456864201
84,15,0.11930241664923348,0.14623289595461822
85,15,0.11556095512205758,0.14915423894669094
86,15,0.12247523678627747,0.14225873589029356
87,15,0.16658884964493,0.1982394522004439
88,15,0.2771733259752981,0.31623144453337654
89,15,0.1311710720740613,0.16881366015359903
90,15,0.24500092150602382,0.3196264110592466
91,15,0.111084339496299,0.15819592600257643
92,15,0.17598366642847166,0.21337116492886285
93,15,0.19307073199404462,0.253264484612352
94,15,0.13262719927804453,0.16350373457030543
95,15,0.18568440931343022,0.24712440177804565
96,15,0.30467586394355844,0.3658746292868095
97,15,0.10853292913194851,0.13571044633324433
98,15,0.1398990540895759,0.1653265146665156
99,15,0.1098256834789934,0.14017090365076815
100,15,0.11989067257852197,0.15437230949196323
101,15,0.15967858969729481,0.1825594977987801
102,15,0.19256843633472676,0.22971996342442128
103,15,0.17185397939672517,0.21139380767033694
104,15,0.1624319088412362,0.1945095502105838
105,15,0.18194384016874493,0.21647906237968606
106,15,0.08827058460987186,0.11012417985796516
107,15,0.1637843300902751,0.1947815038740322
108,15,0.1293425162066746,0.1781888883345059
109,15,0.2997366351787565,0.3762599042441758
110,15,0.22885785431546996,0.3042578941460872
111,15,0.21535630932316865,0.2707603669715167
112,15,0.18847836669685752,0.2418213526368862
113,15,0.2467690103332164,0.33671891424642014
114,15,0.1857022271437794,0.27881400865943307
115,15,0.1676701186500632,0.23523328882405906
116,15,0.12888948444255374,0.16704975495506721
117,15,0.13464028668899178,0.169190455801459
118,15,0.26492401262613513,0.3054735612557763
119,15,0.28412922930562073,0.3263948511143714
120,15,0.7545985498127498,0.8869938527369843
121,15,0.5062211373573584,0.5974646426065136
122,15,0.719481955530124,0.9237735680972414
123,15,0.47903486909722987,0.5889608460982282
124,15,0.5099496074803461,0.6430454611638298
125,15,0.5057420525212264,0.5957266982412026
126,15,0.4789347067737719,0.6292200771632083
127,15,0.5232726445637382,0.6484310904612035
128,15,0.18918048973838794,0.23646525149992798
129,15,0.1536431419223369,0.23828158655766013
130,15,0.09939111117878746,0.13127468883251575
131,15,0.19236756502735214,0.23580930468869057
132,15,0.332197844615588,0.38741697523855917
133,15,0.46030139281614757,0.5523206332060742
134,15,0.5067951736444826,0.582685524092975
135,15,0.48357979473532975,0.587394214134311
136,15,0.3738671754460177,0.45327613784951576
137,15,0.30718549617733004,0.37837355404206857
138,15,0.20894028978834625,0.29770633830173293
139,15,0.1960075722631835,0.2749263507216647
140,15,0.0975852626522537,0.14506878638607787
141,15,0.14780609497901964,0.18857617188591297
142,15,0.13516070423034454,0.17892739638207739
143,15,0.16204339253084138,0.22251788429343328
144,15,0.14272727400972382,0.18314899829217193
145,15,0.11455218548773645,0.15270735815322126
146,15,0.09171307176243522,0.11897751494313367
147,15,0.11616760630750425,0.14483896475761207
148,15,0.12382584646474172,0.15717762696737553
149,15,0.16673200233018906,0.1855171449084291
150,15,0.08953693202558319,0.1176757564483341
151,15,0.20102438734254058,0.23114766297665143
152,15,0.13132059983964522,0.1710415806169109
153,15,0.15729259280223068,0.2004893102481105
154,15,0.18415200779586824,0.2861633316491576
155,15,0.198066875664998,0.2694851057089031
156,15,0.1083600585137967,0.1437853544679153
157,15,0.2592297521096806,0.30947995850508736
158,15,0.16281198056762522,0.2243818047207787
159,15,0.1009113139901031,0.12763329599665352
160,15,0.1686489754131215,0.21464829759199605
161,15,0.12096653981601653,0.15719646873362622
162,15,0.13801736034549006,0.1641038084571507
163,15,0.1302456488828045,0.15414919468532748
164,15,0.11542065655627202,0.14219985887794034
165,15,0.12122666138870355,0.1662973058958179
166,15,0.09948521200189492,0.14446118758246815
167,15,0.12897267730591186,0.15829202696289388
168,15,0.11278047653057774,0.13646206926819077
169,15,0.09436124544899699,0.11137009032561285
170,15,0.0912456809650137,0.1080029494991129
171,15,0.12098182639891879,0.14031793938198592
172,15,0.16144296130587707,0.19825419795357221
173,15,0.13452342830784825,0.17061959272855656
174,15,0.12144700515865535,0.15245058096564879
175,15,0.12100128432406597,0.15143251870488214
176,15,0.10566961390188874,0.13038800067855327
177,15,0.0821818007730683,0.10000445863360496
178,15,0.10361309677293244,0.12855775680279607
179,15,0.08714458846526918,0.11229201291629237
180,15,0.0902447931047601,0.11798683151848977
181,15,0.08965103712837261,0.10832724745282053
182,15,0.09243683450267781,0.11641985102270522
183,15,0.07990977942230644,0.1023299175213224
184,15,0.10934198604992164,0.13125069188166674
185,15,0.08721868518717367,0.10988757478729068
186,15,0.11397646247408993,0.13713851437974872
187,15,0.1307712623800831,0.171977227197676
188,15,0.16772009785627773,0.1938733717450177
189,15,0.1399372699351868,0.1749044089904624
190,15,0.14424293675675426,0.20497248801354154
191,15,0.2434093158300366,0.27926845123808475
192,15,0.1166096475663427,0.16217856738648428
193,15,0.195452159475742,0.23238970422122038
194,15,0.10676298252149816,0.14564703043086316
195,15,0.13038395360499858,0.1565327164487362
196,15,0.21721980713811342,0.275239689391544
197,15,0.3013437120588492,0.3778731745855239
198,15,0.24139887405486646,0.3505396456363055
199,15,0.16328760918970225,0.2526198890868351
200,15,0.3018724814451789,0.38012545949667337
201,15,0.41017264984348784,0.48924245554682755
202,15,0.5973980988135313,0.7951541401563058
203,15,0.5069839290676975,0.6786689447574173
204,15,0.5412172606226082,0.632831823472108
205,15,0.5437336391327607,0.6775266609938168
206,15,0.7158693069691111,0.8663069478878548
207,15,0.4933200774450548,0.6247786628845725
208,15,0.644625444798902,0.7359472830399941
209,15,0.5728635842679454,0.7082287093110048
210,15,0.7525011189253507,0.9550806483961238
211,15,0.9891196777232565,1.251283327660057
212,15,0.5718901654369468,0.6487114572511626
213,15,0.5991882412206953,0.7339554609663524
214,15,0.5877875401197847,0.8902619944048037
215,15,0.5716248569236351,0.790068138598893
216,15,0.5075092621551448,0.6594003002099152
217,15,0.44025039681511224,0.5353711052369224
218,15,0.26762395549259577,0.33009196888123377
219,15,0.23190551078068963,0.29441920850477626
220,15,0.17345798479784222,0.2297418058673747
221,15,0.2099403705091644,0.29034881137951285
222,15,0.21255489552495693,0.2744304624012892
223,15,0.12145398667008628,0.15982727295767427
224,15,0.14757196486607202,0.2006277384585867
225,15,0.12490568468111936,0.1532280189991238
226,15,0.15710624058528747,0.19538013658390221
227,15,0.16619492218186363,0.21357865327718412
228,15,0.2937432711253496,0.3722478664349493
229,15,0.5487318661342201,0.6981619615013595
230,15,0.6409543382039754,0.7583661534292291
231,15,0.5907547425294732,0.6941768702608688
232,15,0.8556916582827262,0.9744115839025538
233,15,0.8271352751522192,1.0304717809454784
234,15,0.7102764962268258,0.897621063574538
