cycle,count,mae,rmse
5,15,0.1556561282311622,0.2049467764955302
6,15,0.1301884507200782,0.17046527861476923
7,15,0.12475471370740464,0.16021496616489983
8,15,0.11448562962562377,0.14361534524929426
9,15,0.18676474019981648,0.24756988811578814
10,15,0.18676373562898038,0.24948403241124306
11,15,0.32592009709338216,0.3778595852160341
12,15,0.29831445171118864,0.3471617464295479
13,15,0.17453373273216174,0.2282327542691613
14,15,0.1624859087236045,0.20155950053254387
15,15,0.14629840212446135,0.18836663942089593
16,15,0.21209448358154664,0.2558272831665743
17,15,0.24302786649812821,0.28813445758276696
18,15,0.16650693380411283,0.20348067931369726
19,15,0.14037179322255672,0.1725234163777741
20,15,0.1661656678114409,0.19799670013008197
21,15,0.20353701553270823,0.23931059603408059
22,15,0.16472878951757478,0.2058064013053422
23,15,0.15762833765374573,0.19107455778234886
24,15,0.11140883214301872,0.14381785746411
25,15,0.1663231813487071,0.2055813347726918
26,15,0.27127133334658093,0.3432947536638656
27,15,0.15289788296619283,0.2057023008394496
28,15,0.13772123224765484,0.17727784763172533
29,15,0.16407539077498456,0.20865151143166183
30,15,0.11669198163419321,0.15911447826533878
31,15,0.11071637127470452,0.13158835536027932
32,15,0.12573473553315784,0.16325600220968808
33,15,0.151176122804429,0.18720196631329936
34,15,0.24079921939663415,0.30182851259383514
35,15,0.3240470497938608,0.394587653869315
36,15,0.332839896969791,0.4029355657245109
37,15,0.2917643592653588,0.35140076267409026
38,15,0.253520418175346,0.30936100410496487
39,15,0.26726741176489577,0.37251886234956444
40,15,0.32578206738171483,0.3925701401555406
41,15,0.3626489017490819,0.4280865805356263
42,15,0.13571307386364245,0.17633455449711438
43,15,0.147003808989353,0.18823280210963084
44,15,0.18828543981891918,0.24452761973975853
45,15,0.20234101485255296,0.23545963432250508
46,15,0.12973846209543963,0.1768225011642639
47,15,0.11694875140929972,0.14746914264554406
48,15,0.1411088559006901,0.1862881065546867
49,15,0.12320154255144124,0.16149676121993953
50,15,0.12085972578295615,0.1547045709442851
51,15,0.13105115153583266,0.16179104841491362
52,15,0.10434862071576502,0.1359886168426801
53,15,0.19212032905498375,0.23737093711973356
54,15,0.09971680140758361,0.12718024518464136
55,15,0.10710443411085149,0.13892479599523283
56,15,0.14881419992620892,0.19234096289773353
57,15,0.15520005571539777,0.20474711039125995
58,15,0.2340458548788139,0.30199654563461686
59,15,0.21179399088036266,0.2945868977883574
60,15,0.11820712679238088,0.16192998889107005
61,15,0.13255960756529123,0.15951899890568966
62,15,0.14956620071386695,0.17669886048225336
63,15,0.1651376879995746,0.21873913260386177
64,15,0.24587690142821228,0.31224405066229904
65,15,0.24121598819257298,0.30486626073654743
66,15,0.34358882863190576,0.455041958233228
67,15,0.6611875160698021,0.7735843164209302
68,15,0.15357511512374822,0.19588070954597894
69,15,0.20686707916023353,0.24651536558465414
70,15,0.27775382019161665,0.3904653850649303
71,15,0.22822551268747815,0.2614204501766681
72,15,0.18457818849557317,0.2211951812921269
73,15,0.32817348278082636,0.4141029029991133
74,15,0.13141092232876067,0.15731060095793253
75,15,0.09399985214795119,0.12574884232498992
76,15,0.14249380581838048,0.17627585727241035
77,15,0.14841244384340618,0.20237834750570052
