cycle,count,mae,rmse
5,15,0.16752955878201667,0.21515378486419798
6,15,0.14195461939900417,0.18116518763203948
7,15,0.16102421063081662,0.20256795790114476
8,15,0.11008566010625197,0.14032947536114565
9,15,0.21155682882234908,0.2685065898949012
10,15,0.1903599788630503,0.25501639966034056
11,15,0.312909706560102,0.38448041892059387
12,15,0.2800414904142649,0.35228217358512287
13,15,0.19130836930516507,0.2432979545194523
14,15,0.20831942337060874,0.25039703987099116
15,15,0.14822259148286016,0.18375089365384645
16,15,0.1642110822234531,0.19585921497302736
17,15,0.21924235476548504,0.25904586126641616
18,15,0.15842883062643967,0.20695467822168437
19,15,0.21432053452072372,0.24536539245916972
20,15,0.1365923339779132,0.17445772538183907
21,15,0.15671369518646183,0.18386298334963044
22,15,0.193416041928044,0.2390309535214357
23,15,0.21611056469323026,0.2515474120804636
24,15,0.15450473481219462,0.19090506730897377
25,15,0.16806622346445121,0.20698634531150206
26,15,0.2850485839205704,0.3438997913164496
27,15,0.17006805513972376,0.21556228516414286
28,15,0.16845169030555268,0.208888313841978
29,15,0.16428314373086492,0.22399234561827364
30,15,0.1317973599460082,0.16505522562484837
31,15,0.13126652076348935,0.1547874130408076
32,15,0.16308926747775715,0.19592319394464341
33,15,0.1462283437784788,0.1866872022772625
34,15,0.21393410406518534,0.2743902551306773
35,15,0.29329731903599215,0.371290327570071
36,15,0.25767889133009264,0.3709294616323443
37,15,0.300480591266951,0.3731361529930547
38,15,0.23633815880477407,0.3152133721725357
39,15,0.24365717273975598,0.3446829473447293
40,15,0.34186868890558475,0.40948243338536
41,15,0.3581362595061073,0.4383545222074587
42,15,0.1853189668913885,0.21991045475541202
43,15,0.14662253850081997,0.19539091146548931
44,15,0.1862971991235808,0.24040457408417631
45,15,0.24955228616236594,0.2887250463717157
46,15,0.1626841081330017,0.20999375745009738
47,15,0.10361840875466109,0.13228615122223586
48,15,0.14039212710510363,0.17884292522309633
49,15,0.12231481007077491,0.1538539906771015
50,15,0.13465601706756256,0.15650591612712547
51,15,0.14401364588882198,0.17597011178282732
52,15,0.12489035746994101,0.1511058042084262
53,15,0.1606676807664992,0.2159594280161442
54,15,0.10582897389200623,0.12714219421594924
55,15,0.14997605359818938,0.18721151901631825
56,15,0.12475936240725707,0.1733573877996611
57,15,0.1928836969177351,0.2265974119906849
58,15,0.25522561991759035,0.31468579947683734
59,15,0.18103203573881607,0.24270500691601982
60,15,0.14789724863945583,0.19233845045884906
61,15,0.11185373225285658,0.14671743216984798
62,15,0.17325461959103375,0.21814283669759815
63,15,0.2583020480437487,0.3345972862877769
64,15,0.2380881386351766,0.2992490481364001
65,15,0.231543453567517,0.27635931076160625
66,15,0.4745317513557031,0.5382431735478325
67,15,0.6274219675495367,0.7312050278842454
68,15,0.12340823956805598,0.16515464496217916
69,15,0.2802273381367185,0.32291321682269686
70,15,0.2683903720826025,0.33617661462772647
71,15,0.18219343258668097,0.22633319922625492
72,15,0.16110992857329934,0.1994507369013523
73,15,0.3527979642518106,0.43759878488304804
